playerId,player,team,position,age,exp,bye,lower,upper,sdPts,dropoff,tier,ptSpread,overallECR,positionECR,sdRank,risk,sleeper,actualPoints,games,points,vor,vorLow,vorHigh,overallRank,positionRank,ptsGame,vorGame,vorGameLow,vorGameHigh,adp,auctionValue,adpDiff,cost,ppdollar
2559150,Corey Clement,PHI,RB,NA,2,10,21.95017523,59.11691625,12.14548919,3.977052138,12,37.16674102,264,80.2,7.6,3.701925075,NA,NA,16,48.7049082,-68.38753783,-59.76906679,-77.74892074,320,75,3.044056763,-4.387354619,-3.735566674,-5.385679082,NA,NA,NA,1,48.7049082
2562631,Miles Boykin,BAL,WR,49,0,8,33.63641457,75.26947878,21.46196529,2.671333111,10,41.63306421,235.3,89.1,18.9,5.942456893,NA,NA,16,54.40420229,-68.67428038,-70.97185696,-63.97481532,322,99,3.400262643,-4.292142524,-4.43574106,-3.998425958,NA,NA,NA,1,54.40420229
2558832,Mo Alie-Cox,IND,TE,26,3,6,12.359,36.73522149,12.89049804,1.438395189,9,24.37622149,382.4,60.8,11.6,5.464348623,NA,NA,16,26.90854541,-69.10510577,-69.539,-79.13912349,323,55,1.681784088,-4.319069111,-4.3461875,-4.946195218,NA,NA,NA,1,26.90854541
2559153,Keelan Cole,JAC,WR,26,2,10,10.59642366,82.41529599,27.27712961,3.245515456,10,71.81887233,246.1,96.1,14,4.807894286,16,NA,16,52.96999389,-70.10848878,-94.01184786,-56.82899811,325,100,3.310624618,-4.381780549,-5.875740491,-3.551812382,NA,NA,NA,1,52.96999389
2541316,Ryan Griffin,NYJ,TE,29,6,4,0,38.511775,15.80165027,0.736637019,9,38.511775,366.6,63.1,20.4,8.19983672,NA,NA,16,25.62224097,-70.39141021,-81.898,-77.36256998,326,57,1.601390061,-4.399463138,-5.118625,-4.835160624,NA,NA,NA,1,25.62224097
2562771,Kahale Warring,HOU,TE,49,0,10,0,36.88074985,21.39591566,0.895756716,9,36.88074985,338.5,50.7,12.4,5.713029359,NA,NA,16,25.31805948,-70.69559171,-81.898,-78.99359513,327,58,1.582378717,-4.418474482,-5.118625,-4.937099696,NA,NA,NA,1,25.31805948
2534820,Garrett Celek,SF,TE,31,7,4,0,36.19225,14.99291007,0.103060645,9,36.19225,387.6,65.2,8.7,4.562880954,NA,NA,16,24.45314843,-71.56050276,-81.898,-79.68209498,329,60,1.528321777,-4.472531422,-5.118625,-4.980130936,NA,NA,NA,1,24.45314843
2553318,James OShaughnessy,JAC,TE,NA,NA,10,18,27.83518956,4.153805463,0.491126786,9,9.835189563,367,67.1,8.5,4.50071077,NA,NA,16,24.39145709,-71.6221941,-63.898,-88.03915542,330,61,1.524466068,-4.476387131,-3.993625,-5.502447214,NA,NA,NA,1,24.39145709
2495288,Virgil Green,LAC,TE,31,8,12,16.22044818,31.56698243,6.105068973,1.565581707,9,15.34653425,383.6,67.6,5.8,3.661413286,NA,NA,16,24.30871848,-71.70493271,-65.67755182,-84.30736255,331,62,1.519294905,-4.481558294,-4.104846989,-5.269210159,NA,NA,NA,1,24.30871848
2557934,Elijah McGuire,NYJ,RB,25,2,4,16.75774061,63.35661696,23.71489639,0.669928293,12,46.59887634,224.3,73.1,13.9,5.544993289,NA,NA,16,44.69716561,-72.39528042,-64.96150141,-73.50922003,333,77,2.793572851,-4.63783853,-4.060093838,-5.120697788,NA,NA,NA,1,44.69716561
